sampleID_bact,sampleID_fung,sample_type,Sample_or_Control,extract_num,extract_kit,fungal_PCR_conc,raw_DNA_conc,bact_dilution,dil_DNA_conc,description,start_date,collect_date,short_description,wet_mass,vol_filter,sub_proj,plant_type,field_plot,gh_block,rain_trt,pot_num,UTM_lat,UTM_long,exp_len,seq_plate_no,seq_plate_row,seq_plate_col
RX020GLBRC20,RX020GLBRC20,Rain,Sample,20,Water_2,4.6423,26,0.8,20.8,G5r4 8-15-017,8/7/2017,8/15/2017,GLBRC20,NA,350,GLBRC,Rain,r4,r4,Rain,r4,633816.759,4694856.496,8,1,E,3
RX008GLBRC8,RX008GLBRC8,Rain,Sample,8,Water_2,5.7136,0.162,1,0.162,G5r1 8-28-017,8/24/2017,8/28/2017,GLBRC8,NA,350,GLBRC,Rain,r1,r1,Rain,r1,633699.201,4694981.638,4,1,H,1
RX026GLBRC26,RX026GLBRC26,Rain,Sample,26,Water_2,1.4284,0.198,1,0.198,G5r2 8-28-017,8/24/2017,8/28/2017,GLBRC26,NA,350,GLBRC,Rain,r2,r2,Rain,r2,633871.826,4694933.686,4,1,C,4
RX117GLBRC117,RX117GLBRC117,Rain,Sample,117,Water_3,3.4613,3.68,1,3.68,G5r3 8-28-017,8/24/2017,8/28/2017,GLBRC117,NA,350,GLBRC,Rain,r3,r3,Rain,r3,633999.73,4694991.236,4,2,A,4
RX027GLBRC27,RX027GLBRC27,Rain,Sample,27,Water_2,2.1426,0.0527,1,0.0527,G5r4 8-28-017,8/24/2017,8/28/2017,GLBRC27,NA,325,GLBRC,Rain,r4,r4,Rain,r4,633830.52,4694877.295,4,1,D,4
RX059GLBRC59,RX059GLBRC59,Rain,Sample,59,Water_1,11.0701,86.8,0.1,8.68,G5r1 9-4-017,8/28/2017,9/4/2017,GLBRC59,NA,350,GLBRC,Rain,r1,r1,Rain,r1,633684.49,4694963.533,7,1,E,8
RX062GLBRC62,RX062GLBRC62,Rain,Sample,62,Water_1,4.9994,42.2,0.25,10.55,G5r2 9-4-017,8/28/2017,9/4/2017,GLBRC62,NA,300,GLBRC,Rain,r2,r2,Rain,r2,633858.951,4694911.68,7,1,H,8
RX116GLBRC116,RX116GLBRC116,Rain,Sample,116,Water_3,4.1233,216,0.05,10.8,G5r3 9-4-017,8/28/2017,9/4/2017,GLBRC116,NA,300,GLBRC,Rain,r3,r3,Rain,r3,633985.999,4694969.057,7,2,H,3
RX052GLBRC52,RX052GLBRC52,Rain,Sample,52,Water_1,4.6423,172,0.05,8.6,G5r4 9-4-017,8/28/2017,9/4/2017,GLBRC52,NA,300,GLBRC,Rain,r4,r4,Rain,r4,633816.759,4694856.496,7,1,F,7
RX047GLBRC47,RX047GLBRC47,Rain,Sample,47,Water_2,6.0707,0.38,1,0.38,G5r1 9-18-017,9/14/2017,9/18/2017,GLBRC47,NA,175,GLBRC,Rain,r1,r1,Rain,r1,633684.49,4694963.533,4,1,A,7
RX082GLBRC82,RX082GLBRC82,Rain,Sample,82,Water_1,6.60635,2.26,1,2.26,G5r2 9-18-017,9/14/2017,9/18/2017,GLBRC82,NA,300,GLBRC,Rain,r2,r2,Rain,r2,633858.951,4694911.68,4,1,E,11
RX098GLBRC98,RX098GLBRC98,Rain,Sample,98,Water_1,2.5591,1.64,1,1.64,G5r3 9-18-017,9/14/2017,9/18/2017,GLBRC98,NA,325,GLBRC,Rain,r3,r3,Rain,r3,633985.999,4694969.057,4,2,F,1
RX063GLBRC63,RX063GLBRC63,Rain,Sample,63,Water_1,0.7142,0.001,1,0.001,G5r4 9-18-017,9/14/2017,9/18/2017,GLBRC63,NA,325,GLBRC,Rain,r4,r4,Rain,r4,633816.759,4694856.496,4,1,A,9
RX042GLBRC42,RX042GLBRC42,Rain,Sample,42,Water_2,1.7855,0.102,1,0.102,G5r1 9-19-017,9/18/2017,9/19/2017,GLBRC42,NA,350,GLBRC,Rain,r1,r1,Rain,r1,633684.49,4694963.533,1,1,D,6
RX039GLBRC39,RX039GLBRC39,Rain,Sample,39,Water_2,4.6423,0.184,1,0.184,G5r2 9-19-017,9/18/2017,9/19/2017,GLBRC39,NA,350,GLBRC,Rain,r2,r2,Rain,r2,633858.951,4694911.68,1,1,B,6
RX115GLBRC115,RX115GLBRC115,Rain,Sample,115,Water_3,2.862325,0.96,1,0.96,G5r3 9-19-017,9/18/2017,9/19/2017,GLBRC115,NA,350,GLBRC,Rain,r3,r3,Rain,r3,633985.999,4694969.057,1,2,G,3
RX040GLBRC40,RX040GLBRC40,Rain,Sample,40,Water_2,4.9994,0.138,1,0.138,G5r4 9-19-017,9/18/2017,9/19/2017,GLBRC40,NA,350,GLBRC,Rain,r4,r4,Rain,r4,633816.759,4694856.496,1,1,C,6
RX049GLBRC49,RX049GLBRC49,Rain,Sample,49,Water_2,2.1426,0.0386,1,0.0386,G5r2 10-11-017,10/10/2017,10/11/2017,GLBRC49,NA,350,GLBRC,Rain,r2,r2,Rain,r2,633858.951,4694911.68,1,1,C,7
RX043GLBRC43,RX043GLBRC43,Rain,Sample,43,Water_2,1.7855,0.0356,1,0.0356,G5r1+2 11-21-017,11/21/2017,11/22/2017,GLBRC43,NA,350,GLBRC,Rain,r1_2,r1_2,Rain,r1_2,633844.703,4694949.52,1,1,E,6
RX037GLBRC37,RX037GLBRC37,Rain,Sample,37,Water_2,1.4284,0.001,1,0.001,G5r1 12-29-017,12/28/2017,12/29/2017,GLBRC37,NA,350,GLBRC,Rain,r1,r1,Rain,r1,633684.49,4694963.533,1,1,G,5
RX065GLBRC65,RX065GLBRC65,Rain,Sample,65,Water_1,1.0713,0.001,1,0.001,G5r2 12-29-017,12/28/2017,12/29/2017,GLBRC65,NA,350,GLBRC,Rain,r2,r2,Rain,r2,633858.951,4694911.68,1,1,C,9
RX041GLBRC41,RX041GLBRC41,Rain,Sample,41,Water_2,1.4284,0.0136,1,0.0136,G5r4 12-29-017,12/28/2017,12/29/2017,GLBRC41,NA,350,GLBRC,Rain,r4,r4,Rain,r4,633816.759,4694856.496,1,1,A,6
RX048GLBRC48,RX048GLBRC48,Rain,Sample,48,Water_2,3.9281,0.164,1,0.164,G5r1 2-20-2018,2/15/2018,2/16/2018,GLBRC48,NA,350,GLBRC,Rain,r1,r1,Rain,r1,633684.49,4694963.533,1,1,B,7
RX057GLBRC57,RX057GLBRC57,Rain,Sample,57,Water_1,2.4997,0.25,1,0.25,G5r2 2-20-018,2/15/2018,2/16/2018,GLBRC57,NA,350,GLBRC,Rain,r2,r2,Rain,r2,633858.951,4694911.68,1,1,C,8
RX003GLBRC3,RX003GLBRC3,Rain,Sample,3,Water_2,1.5215,0.115,1,0.115,G5r4 2-20-018,2/15/2018,2/16/2018,GLBRC3,NA,350,GLBRC,Rain,r4,r4,Rain,r4,633816.759,4694856.496,1,1,C,1
RX030GLBRC30,RX030GLBRC30,Rain,Sample,30,Water_2,1.0713,0.0284,1,0.0284,G5r1 3-27-018,3/26/2018,3/27/2018,GLBRC30,NA,350,GLBRC,Rain,r1,r1,Rain,r1,633684.49,4694963.533,1,1,G,4
RX004GLBRC4,RX004GLBRC4,Rain,Sample,4,Water_2,1.8314,0.0102,1,0.0102,G5r2 3-27-018,3/26/2018,3/27/2018,GLBRC4,NA,350,GLBRC,Rain,r2,r2,Rain,r2,633858.951,4694911.68,1,1,D,1
RX061GLBRC61,RX061GLBRC61,Rain,Sample,61,Water_1,0.7142,0.0114,1,0.0114,G5r4 3-27-018,3/26/2018,3/27/2018,GLBRC61,NA,350,GLBRC,Rain,r4,r4,Rain,r4,633816.759,4694856.496,1,1,G,8
RX034GLBRC34,RX034GLBRC34,Rain,Sample,34,Water_2,3.2139,0.12,1,0.12,G5r1 5-03-018,5/2/2018,5/3/2018,GLBRC34,NA,350,GLBRC,Rain,r1,r1,Rain,r1,633684.49,4694963.533,1,1,D,5
RX066GLBRC66,RX066GLBRC66,Rain,Sample,66,Water_1,1.0713,0.101,1,0.101,G5r2 5-03-018,5/2/2018,5/3/2018,GLBRC66,NA,350,GLBRC,Rain,r2,r2,Rain,r2,633858.951,4694911.68,1,1,D,9
RX053GLBRC53,RX053GLBRC53,Rain,Sample,53,Water_1,1.0713,0.001,1,0.001,G5r4 5-03-018,5/2/2018,5/3/2018,GLBRC53,NA,350,GLBRC,Rain,r4,r4,Rain,r4,633816.759,4694856.496,1,1,G,7
RX007GLBRC7,RX007GLBRC7,Rain,Sample,7,Water_2,6.0707,0.294,1,0.294,G5r1 6-20-018,6/18/2018,6/20/2018,GLBRC7,NA,350,GLBRC,Rain,r1,r1,Rain,r1,633684.49,4694963.533,2,1,G,1
