OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
Zotu63	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	Incertae_sedis	Pseudomicrostroma	Pseudomicrostroma phylloplanum
Zotu64	Fungi						
Zotu65	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	
Zotu66	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
Zotu67	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	Neoascochyta argentina
Zotu68	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
Zotu69	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	Neoascochyta argentina
Zotu70	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	
Zotu71	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	
Zotu72	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
Zotu73	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Bulleromyces	Bulleromyces albus
Zotu74	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	
Zotu75	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae		
Zotu76	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
Zotu77	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Coniothyrium	Coniothyrium sp 
Zotu78	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
Zotu79	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium wieringae
Zotu80	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Bulleromyces	Bulleromyces albus
Zotu81	Fungi	Basidiomycota	Agaricomycetes	Polyporales			
Zotu82	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Bulleromyces	Bulleromyces albus
Zotu83	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	
Zotu84	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
Zotu85	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae		
Zotu86	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaetopsis	Hymenochaetopsis corrugata
Zotu87	Fungi						
Zotu88	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella coprosmae
Zotu89	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae		
Zotu90	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes versicolor
Zotu91	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes versicolor
Zotu92	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
Zotu93	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
Zotu94	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella coprosmae
Zotu95	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	
Zotu96	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	Neoascochyta argentina
Zotu97	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
Zotu98	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
