"","s1_s2","sample2","sample1","jaccard","nestedness","turnover","s1_sample_type","s1_collect_date","s1_sub_proj","s1_plant_type","s1_gh_block","s1_rain_trt","s1_UTM_lat","s1_UTM_long","s2_sample_type","s2_collect_date","s2_sub_proj","s2_plant_type","s2_gh_block","s2_rain_trt","s2_UTM_lat","s2_UTM_long","s1_s2_plant_type","s1_s2_collect_date","s1_collect_date_plant_type","s2_collect_date_plant_type","shared","not.shared","similarity","s1_s2_rain_trt","s1_s2_gh_block"
"14","Leaf03.Leaf19","Leaf19","Leaf03",0.708609271523179,0.0470708099847173,0.661538461538462,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","B1","Sterile_rain",639046.075,4700603.84,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",44,43,0.291390728476821,"Field_rain.Sterile_rain","B4.B1"
"15","Leaf03.Leaf21","Leaf21","Leaf03",0.744360902255639,0.149122807017544,0.595238095238095,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","7/16/2018","Marshall","Seedling","B4","No_rain",NA,NA,"Seedling.Seedling","9/5/2018.7/16/2018","9/5/2018.Seedling","7/16/2018.Seedling",34,25,0.255639097744361,"Field_rain.No_rain","B4.B4"
"16","Leaf03.Leaf22","Leaf22","Leaf03",0.868217054263566,0.156352647483905,0.711864406779661,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","B2","Sterile_rain",638976.568,4700616.674,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",17,21,0.131782945736434,"Field_rain.Sterile_rain","B4.B2"
"17","Leaf03.Leaf23","Leaf23","Leaf03",0.63905325443787,0.032601641534644,0.606451612903226,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",61,61,0.36094674556213,"Field_rain.Field_rain","B4.B4"
"18","Leaf03.Leaf24","Leaf24","Leaf03",0.670588235294118,0.0205882352941176,0.65,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B1","Field_rain",639046.075,4700603.84,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",56,62,0.329411764705882,"Field_rain.Field_rain","B4.B1"
"19","Leaf03.Leaf25","Leaf25","Leaf03",0.859504132231405,0.254852969440707,0.604651162790698,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B1","Field_rain",639046.075,4700603.84,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",17,13,0.140495867768595,"Field_rain.Field_rain","B4.B1"
"20","Leaf03.Leaf26","Leaf26","Leaf03",0.93859649122807,0.307017543859649,0.631578947368421,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","B1","Live_Rain",639046.075,4700603.84,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",7,6,0.0614035087719298,"Field_rain.Live_Rain","B4.B1"
"21","Leaf03.Leaf27","Leaf27","Leaf03",0.713235294117647,0.123761609907121,0.589473684210526,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B3","Field_rain",638809.092,4700697.086,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",39,28,0.286764705882353,"Field_rain.Field_rain","B4.B3"
"22","Leaf03.Leaf28","Leaf28","Leaf03",0.641379310344828,0.0540777230432403,0.587301587301587,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","B2","Sterile_rain",638976.568,4700616.674,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",52,37,0.358620689655172,"Field_rain.Sterile_rain","B4.B2"
"23","Leaf03.Leaf29","Leaf29","Leaf03",0.974789915966387,0.0947899159663865,0.88,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","Nano","Nano",NA,NA,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",3,11,0.0252100840336135,"Field_rain.Nano","B4.Nano"
"24","Leaf03.Leaf30","Leaf30","Leaf03",0.81203007518797,0.145363408521303,0.666666666666667,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","B3","Sterile_rain",638809.092,4700697.086,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",25,25,0.18796992481203,"Field_rain.Sterile_rain","B4.B3"
"25","Leaf03.Leaf31","Leaf31","Leaf03",0.830769230769231,0.164102564102564,0.666666666666667,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","7/10/2018","Marshall","Seed","Control","No_rain",NA,NA,"Seedling.Seed","9/5/2018.7/10/2018","9/5/2018.Seedling","7/10/2018.Seed",22,22,0.169230769230769,"Field_rain.No_rain","B4.Control"
